Nei-NeighborHood, Nei-District#,Nei-Patrol-District
"Carondelet",1,"South Patrol"
"Patch",1,"South Patrol"
"Holly Hills",1,"South Patrol"
"Boulevard Heights",1,"South Patrol"
"Bevo Mill",1,"South Patrol"
"Princeton Heights",1,"South Patrol"
"Southampton",2,"South Patrol"
"Saint Louis Hills",2,"South Patrol"
"Lindenwood Park",2,"South Patrol"
"Ellendale",2,"South Patrol"
"Clifton Heights",2,"South Patrol"
"The Hill",2,"South Patrol"
"Southwest Garden",2,"South Patrol"
"North Hampton",2,"South Patrol"
"Tower Grove South",2,"South Patrol"
"Dutchtown",1,"South Patrol"
"Mount Pleasant",1,"South Patrol"
"Marine Villa",3,"Central Patrol"
"Gravois Park",3,"Central Patrol"
"Kosciusko",3,"Central Patrol"
"Soulard",3,"Central Patrol"
"Benton Park",3,"Central Patrol"
"McKinley Heights",3,"Central Patrol"
"Fox Park",3,"Central Patrol"
"Tower Grove East",3,"Central Patrol"
"Compton Heights",3,"Central Patrol"
"Shaw",2,"South Patrol"
"Botanical Heights",2,"South Patrol"
"Tiffany",2,"South Patrol"
"Benton Park West",3,"Central Patrol"
"Gate District",3,"Central Patrol"
"Lafayette Square",3,"Central Patrol"
"Peabody-Darst-Webbe",3,"Central Patrol"
"LaSalle Park",3,"Central Patrol"
"Downtown",4,"Central Patrol"
"Downtown West",4,"Central Patrol"
"Midtown",4,"Central Patrol"
"Central West End",5,"North Patrol"
"Forest Park Southeast",2,"South Patrol"
"Kings Oak",2,"South Patrol"
"Cheltenham",2,"South Patrol"
"Clayton-Tamm",2,"South Patrol"
"Franz Park",2,"South Patrol"
"Hi-Pointe",2,"South Patrol"
"Wydown Skinker",2,"South Patrol"
"Skinker DeBaliviere",2,"South Patrol"
"DeBaliviere Place",2,"South Patrol"
"West End",5,"North Patrol"
"Visitation Park",5,"North Patrol"
"Wells Goodfellow",5,"North Patrol"
"Academy",5,"North Patrol"
"Kingsway West",5,"North Patrol"
"Fountain Park",5,"North Patrol"
"Lewis Place",5,"North Patrol"
"Kingsway East",6,"North Patrol"
"Greater Ville",6,"North Patrol"
"The Ville",5,"North Patrol"
"Vandeventer",5,"North Patrol"
"Jeff-Vander-Lou",4,"Central Patrol"
"Saint Louis Place",4,"Central Patrol"
"Carr Square",4,"Central Patrol"
"Columbus Square",4,"Central Patrol"
"Old North Saint Louis",4,"Central Patrol"
"Near North Riverfront",4,"Central Patrol"
"Hyde Park",4,"Central Patrol"
"College Hill",4,"Central Patrol"
"Fairground",4,"Central Patrol"
"O'Fallon",6,"North Patrol"
"Penrose",6,"North Patrol"
"Mark Twain/I-70 Industrial",6,"North Patrol"
"Mark Twain",6,"North Patrol"
"Walnut Park East",6,"North Patrol"
"North Pointe",6,"North Patrol"
"Baden",6,"North Patrol"
"Riverview",6,"North Patrol"
"Walnut Park West",6,"North Patrol"
"Covenant Blu Grand Center",4,"Central Patrol"
"Hamilton Heights",5,"North Patrol"
"North Riverfront",6,"North Patrol"
"Goodfellow Terrace",6,"North Patrol"
