Geo-Coordinates,Geo-Location,Geo-HouseNumber,Geo-Road,Geo-Neighborhood,Geo-Village,Geo-City,Geo-ZipCode,Geo-County,Geo-State,Geo-Country
"38.646434,-90.26485","2, Portland Place, Central West End, Saint Louis, Missouri, 63108, United States",2,Portland Place,Central West End,,Saint Louis,63108,Saint-Louis City,Missouri,United States
"38.652984,-90.20108","1919, Dodier Street, Old North Saint Louis, Saint Louis, Missouri, 63107, United States",1919,Dodier Street,Old North Saint Louis,,Saint Louis,63107,Saint-Louis City,Missouri,United States
"38.607878,-90.2221","2272, South Jefferson Avenue, McKinley Heights, Saint Louis, Missouri, 63104, United States",2272,South Jefferson Avenue,McKinley Heights,,Saint Louis,63104,Saint-Louis City,Missouri,United States
"38.627714,-90.249994","Rehab Bar & Grill, South Sarah Street, Forest Park Southeast, Saint Louis, Missouri, 63110, United States",,South Sarah Street,Forest Park Southeast,,Saint Louis,63110,Saint-Louis City,Missouri,United States
"38.655824,-90.22954","3925, Cottage Avenue, Greater Ville, Saint Louis, Missouri, 63113, United States",3925,Cottage Avenue,Greater Ville,,Saint Louis,63113,Saint-Louis City,Missouri,United States
"38.671037,-90.284564","1397, Hamilton Avenue, Hamilton Heights, Saint Louis, Missouri, 63112, United States",1397,Hamilton Avenue,Hamilton Heights,,Saint Louis,63112,Saint-Louis City,Missouri,United States
"38.627427,-90.25135","Talmage Avenue, Forest Park Southeast, Saint Louis, Missouri, 63110, United States",,Talmage Avenue,Forest Park Southeast,,Saint Louis,63110,Saint-Louis City,Missouri,United States
"38.623683,-90.19192","Crown Room, 601, Clark Avenue, Downtown, Saint Louis, Missouri, 63102, United States",601,Clark Avenue,Downtown,,Saint Louis,63102,Saint-Louis City,Missouri,United States
"38.62264,-90.218346","950, South Jefferson Avenue, Downtown West, Saint Louis, Missouri, 63104, United States",950,South Jefferson Avenue,Downtown West,,Saint Louis,63104,Saint-Louis City,Missouri,United States
"38.590347,-90.223413","3528, Missouri Avenue, Marine Villa, Saint Louis, Missouri, 63118, United States",3528,Missouri Avenue,Marine Villa,,Saint Louis,63118,Saint-Louis City,Missouri,United States
"0.0,0.0",Soul Buoy,,,,,,,,,
"38.695306,-90.24289","5415, Arlington Avenue, Mark Twain, Saint Louis, Missouri, 63120, United States",5415,Arlington Avenue,Mark Twain,,Saint Louis,63120,Saint-Louis City,Missouri,United States
"38.572242,-90.24301","3274, Pulaski Street, Dutchtown, Saint Louis, Missouri, 63111, United States",3274,Pulaski Street,Dutchtown,,Saint Louis,63111,Saint-Louis City,Missouri,United States
"38.62373,-90.19654","South 10th Street, Downtown, Saint Louis, Missouri, 63101, United States",,South 10th Street,Downtown,,Saint Louis,63101,Saint-Louis City,Missouri,United States
"38.645512,-90.19325","1299, Chambers Street, Old North Saint Louis, Saint Louis, Missouri, 63106, United States",1299,Chambers Street,Old North Saint Louis,,Saint Louis,63106,Saint-Louis City,Missouri,United States
"38.579302,-90.26237","4990, Ray Avenue, Bevo Mill, Saint Louis, Missouri, 63116, United States",4990,Ray Avenue,Bevo Mill,,Saint Louis,63116,Saint-Louis City,Missouri,United States
"38.55871,-90.28439","7855, Morganford Road, Boulevard Heights, Saint Louis, Saint Louis County, Missouri, 63123, United States",7855,Morganford Road,Boulevard Heights,,Saint Louis,63123,Saint Louis County,Missouri,United States
"38.659897,-90.26198","Page Boulevard, Fountain Park, Cabanne Place, Saint Louis, Missouri, 63113, United States",,Page Boulevard,Fountain Park,,Saint Louis,63113,Saint-Louis City,Missouri,United States
"38.586341,-90.295906","4959, Clifton Avenue, Saint Louis Hills, Southhampton, Saint Louis, Missouri, 63109, United States",4959,Clifton Avenue,Saint Louis Hills,,Saint Louis,63109,Saint-Louis City,Missouri,United States
"38.603985,-90.22533","2663-2665, Gravois Avenue, Fox Park, Saint Louis, Missouri, 63118, United States",2663-2665,Gravois Avenue,Fox Park,,Saint Louis,63118,Saint-Louis City,Missouri,United States
"38.647061,-90.19115","I 70, Old North Saint Louis, Saint Louis, Missouri, 63102, United States",,I 70,Old North Saint Louis,,Saint Louis,63102,Saint-Louis City,Missouri,United States
"38.617194,-90.23652","South Grand Boulevard, Gate District, Saint Louis, Missouri, 63111, United States",,South Grand Boulevard,Gate District,,Saint Louis,63111,Saint-Louis City,Missouri,United States
"38.573861,-90.259779","3915, Schiller Place, Bevo Mill, Saint Louis, Missouri, 63116, United States",3915,Schiller Place,Bevo Mill,,Saint Louis,63116,Saint-Louis City,Missouri,United States
"38.629806,-90.257361","4398, Chouteau Avenue, Forest Park Southeast, Saint Louis, Missouri, 63110, United States",4398,Chouteau Avenue,Forest Park Southeast,,Saint Louis,63110,Saint-Louis City,Missouri,United States
"38.630756,-90.189774","The Laurel Apartments, Washington Avenue, Downtown, Saint Louis, Missouri, 63108, United States",,Washington Avenue,Downtown,,Saint Louis,63108,Saint-Louis City,Missouri,United States
"38.665123,-90.243154","4500-4504, Saint Louis Avenue, Greater Ville, Saint Louis, Missouri, 63115, United States",4500-4504,Saint Louis Avenue,Greater Ville,,Saint Louis,63115,Saint-Louis City,Missouri,United States
"38.651391,-90.248157","4366, Fairfax Court, Vandeventer, Saint Louis, Missouri, 63113, United States",4366,Fairfax Court,Vandeventer,,Saint Louis,63113,Saint-Louis City,Missouri,United States
"38.629176,-90.20211","Building 10, 10, North 15th Street, Downtown West, Saint Louis, Missouri, 63103, United States",10,North 15th Street,Downtown West,,Saint Louis,63103,Saint-Louis City,Missouri,United States
"38.587112,-90.22536","2198, Stansbury Street, Marine Villa, Saint Louis, Missouri, 63118, United States",2198,Stansbury Street,Marine Villa,,Saint Louis,63118,Saint-Louis City,Missouri,United States
"38.683233,-90.255795","Arlington Avenue, Mark Twain/I-70 Industrial, Saint Louis, Missouri, 63120, United States",,Arlington Avenue,Mark Twain/I-70 Industrial,,Saint Louis,63120,Saint-Louis City,Missouri,United States
